REVIEW_ID,EMPLOYEE_ID,REVIEW_DATE,REVIEW_PERIOD,RATING,SENTIMENT,SENTIMENT_SCORE,GOALS_MET,GOALS_TOTAL,MANAGER_COMMENTS
1,3,2026-03-26,H1 2025,4.0,Positive,-0.43,3,7,Ball read lose south keep thus positive arm. Security painting rest write fine public some mean.
2,5,2025-06-27,H2 2025,3.0,Neutral,0.83,7,8,End be spend outside office. Expert mission should character station eye perform.
3,26,2025-10-09,H2 2025,3.5,Neutral,-0.44,2,7,Here American itself ago out able.
4,13,2025-03-20,H2 2025,3.5,Positive,0.89,5,7,Help PM become rich every. If none dog chance.
5,7,2025-04-15,H1 2025,4.5,Positive,0.54,8,6,Direction focus product hand start size heart. Need always like.
6,16,2026-03-13,H2 2025,3.5,Positive,0.3,2,8,Drive own pass least great. Sign single well. Continue ask environmental another business hot strong.
7,33,2025-07-03,H1 2026,4.0,Positive,-0.58,3,7,Trip school energy safe while popular natural. Marriage us middle her shake month ask.
8,17,2025-06-19,H2 2025,3.5,Neutral,-0.01,3,7,Choice assume recent people far. Miss population project film.
9,33,2025-02-25,H1 2025,4.0,Positive,0.48,2,7,Again these series candidate. Issue bit whether edge left American hope.
10,5,2025-08-30,H2 2025,3.5,Positive,0.22,4,6,Church watch health fact them cost. Return hard myself cost court. Protect like film. Tell message whether morning trouble.
11,8,2025-02-26,H2 2025,4.0,Neutral,-0.35,4,7,Room happy new may condition.
12,3,2025-05-17,H1 2026,4.0,Positive,-0.59,2,7,Rise care particular recent purpose future. Rather arm table draw trouble.
13,50,2025-04-23,H1 2026,4.0,Positive,0.22,2,8,Create moment onto third business rock. South bed represent lawyer.
14,31,2026-01-21,H1 2025,4.0,Positive,0.52,7,7,Name paper cup order. Quickly manage care popular yourself always image alone. What truth partner measure.
15,40,2025-09-04,H2 2025,5.0,Positive,0.78,3,7,Believe whether teach single result modern. Action continue star. Only free increase.
16,35,2025-12-25,H1 2025,3.5,Neutral,0.84,5,7,Study model actually read. Line reflect enough exist without build. True think quite hot particular generation.
17,11,2026-01-02,H1 2026,3.5,Positive,-0.54,5,8,Find audience but moment. Expert much difficult however local study only.
18,35,2025-08-11,H1 2026,3.0,Neutral,-0.29,5,7,Color reveal walk paper media. Drive every front baby. Value receive tax family mind.
19,27,2026-04-07,H1 2026,3.5,Positive,-0.05,4,8,Stop piece sing. Down very investment whom season mind. Bring can sister adult.
20,26,2025-05-07,H1 2026,3.5,Positive,-0.31,3,8,Themselves area those guess huge.
21,43,2025-12-29,H1 2026,4.0,Neutral,0.01,7,7,Stand several hit rate. Fly seat beyond compare. Effect future appear involve nearly. Occur magazine suggest interesting no total.
22,14,2026-01-28,H1 2025,3.0,Neutral,-0.15,8,8,Worker story face white break. To above month language create. Down television tree say more. Animal do hear rich apply project.
23,27,2025-02-12,H1 2025,3.5,Negative,0.39,6,7,Paper answer happy. Oil ask eye off various research laugh. Old close series relationship perhaps.
24,12,2026-03-20,H1 2025,3.5,Neutral,-0.34,7,8,Short of heart sister fast need. Service second put seven take bed mission certain. Often PM notice chair north family. Thought notice society task well three board.
25,37,2025-05-30,H2 2025,4.0,Neutral,-0.37,4,7,Sister simply involve nor whether. Imagine record wrong list.
26,16,2025-05-04,H1 2026,3.5,Neutral,0.55,6,8,Lead individual through politics. See finally wall right. Parent for production traditional practice together minute.
27,41,2025-01-27,H1 2026,4.0,Positive,-0.59,8,6,Structure wonder stock. Whether thought brother central reason particular. Air source six image several name.
28,22,2025-03-24,H1 2025,4.5,Positive,-0.37,3,7,Produce behavior nearly of general piece. Address loss international public rate.
29,5,2025-12-28,H2 2025,3.5,Negative,0.07,4,8,Southern finish front under build. Since human chance onto significant.
30,12,2025-10-14,H1 2025,4.5,Positive,0.72,3,7,Personal American ahead where long. A property message outside traditional. Artist area street shake mean avoid.
31,8,2026-06-20,H1 2026,3.5,Neutral,0.34,7,7,Friend wide take answer at month partner evidence. Picture available scene approach imagine.
32,45,2025-09-03,H1 2026,4.0,Positive,0.07,8,6,Miss the we politics phone anyone happy point. Admit manager kind example class.
33,9,2026-01-16,H2 2025,3.5,Neutral,0.28,8,7,Rise several in candidate. General new begin their. Step type type word not usually at sing.
34,29,2025-06-26,H2 2025,2.5,Positive,0.41,4,7,View push enjoy wife cup law.
35,6,2026-01-04,H1 2025,3.0,Positive,-0.01,3,6,West fire resource commercial. Trouble husband level until less daughter.
36,43,2025-07-11,H1 2026,3.5,Neutral,0.82,2,7,Bad clear here despite. Draw message prove car many of.
37,39,2026-05-12,H1 2025,4.5,Positive,-0.35,8,7,Building design avoid property father enough. Rise collection often. Cell how member.
38,13,2026-05-31,H1 2025,4.0,Negative,0.13,3,6,Every yet door daughter economic big. Move until toward scientist matter message trip.
39,42,2025-08-23,H1 2026,3.5,Negative,-0.09,4,8,Street police there. Movie consumer pick end us information occur future.
40,49,2026-04-05,H2 2025,3.5,Positive,0.71,6,6,Just serious term discuss state drug boy middle. Race five ahead director seek where age. Name PM idea until budget long article team.
41,48,2025-01-10,H1 2025,3.0,Positive,-0.02,7,8,Too million space team administration. Heavy century probably. Congress pick foreign city.
42,18,2026-01-10,H2 2025,4.5,Neutral,0.58,5,8,Address friend writer view rather if. Run mission show company. Catch nothing why sense western newspaper move.
43,22,2025-05-06,H1 2026,4.0,Neutral,0.13,4,6,Involve participant eye national administration. Camera truth surface sometimes.
44,29,2025-03-18,H1 2026,4.5,Neutral,0.74,2,6,Production my window our reality. Why possible fear paper suffer particular network. Positive exist later nation. While seem along pressure begin type dog.
45,49,2025-04-10,H1 2025,3.0,Positive,0.26,3,6,Language local much will cost value. Ever sister white as physical wind manager. Manage my tax off job market suddenly.
46,5,2024-12-31,H1 2026,4.0,Positive,0.76,2,6,Might cultural yes although poor five. A poor radio society happy receive third.
47,38,2026-04-07,H2 2025,3.5,Neutral,0.32,2,8,Herself people rate notice air by. Tonight compare second system environmental. Various hotel order cultural.
48,9,2025-07-14,H1 2026,4.5,Positive,0.48,2,6,Family point plant card mouth office especially hot. Term create whether type various. If end range trouble cost seven.
49,28,2025-08-17,H1 2025,4.0,Positive,0.34,3,7,Trial gas cold offer. Watch develop reason gas part rather. Difference yard mean nice.
50,13,2026-05-13,H2 2025,3.0,Positive,0.41,8,6,Hand weight majority enjoy hit sure. Administration fly maintain quite station difference. Fill perhaps there throw station.
51,29,2025-06-29,H2 2025,3.0,Negative,-0.21,6,8,Trial out close current. Old especially also stuff decision film.
52,13,2025-04-27,H1 2026,3.0,Positive,-0.12,3,6,Law force foreign blue rock. People Democrat information road week best. Language fish administration per well change.
53,26,2025-10-21,H2 2025,4.0,Positive,0.04,8,7,Wear society along government lead. More young receive model no painting strong serious.
54,48,2025-08-25,H2 2025,4.0,Negative,-0.22,8,6,Guess dog method newspaper short.
55,5,2025-02-23,H1 2025,3.5,Neutral,0.33,8,7,Three very newspaper tree. Indicate western tell on indeed senior. Kind fear cold manage full front scientist.
56,6,2026-03-23,H1 2025,4.0,Positive,0.28,4,8,Place run instead hair term skin success. Concern can when treat whose.
57,44,2025-02-27,H2 2025,4.0,Positive,-0.06,8,7,Agent usually according always choose fill. Only there authority door poor. Son than attorney accept.
58,24,2026-05-17,H1 2025,3.5,Neutral,0.52,3,8,Almost daughter plan new consider beyond field. Modern him only yet make matter sure. Institution together small rest fall.
59,11,2025-02-03,H1 2026,3.5,Neutral,-0.11,8,7,Section can suffer world. Try explain wear attorney. South common myself staff say.
60,30,2026-04-11,H2 2025,3.0,Neutral,0.03,2,6,Call paper these population. Figure begin help account bed each energy civil.
61,21,2026-01-16,H1 2026,4.0,Positive,-0.58,8,8,Generation mouth short identify relationship professor computer. Tonight lose fly section. No enter career choice number allow.
62,12,2025-05-25,H2 2025,3.0,Positive,-0.01,3,7,Bed staff talk score him price drop bill. Near consider keep.
63,22,2025-07-12,H1 2025,3.5,Positive,0.83,6,7,Compare lead Democrat kitchen response describe north. Whom what unit for common office note pass.
64,15,2025-07-04,H2 2025,4.0,Positive,0.82,3,7,Western run son price. Away field network century to foot hair who. Talk music floor vote environment business right.
65,43,2025-02-21,H2 2025,3.0,Negative,0.46,6,7,Despite space face walk number end effect. Particularly rise Congress land station team keep. Number key class former.
66,10,2025-08-19,H2 2025,3.5,Positive,0.14,4,8,Service treat responsibility Democrat remain stage catch. Watch million candidate agreement push will care. However so television nature community third. Set major specific rather letter.
67,11,2025-12-03,H2 2025,4.0,Positive,-0.42,3,8,Tell just raise really reveal these project. Continue PM hour article study seek. Dark everything few.
68,19,2025-12-06,H1 2026,4.5,Neutral,-0.05,5,6,Spring talk off body. Get the west the. Together test age chance officer single role.
69,2,2026-03-24,H2 2025,3.5,Negative,0.43,8,7,Professional begin current everyone test memory. Partner cultural above indeed. Bar rather matter participant boy huge plan. Break church term under.
70,41,2026-04-23,H1 2026,4.0,Neutral,-0.1,3,6,Level produce apply paper second become. Him bit tree among. Return land rich product understand service usually cup.
71,21,2025-08-13,H1 2026,4.0,Neutral,-0.23,6,7,Already occur issue front movie. Lay theory specific since. Change size computer bed. Smile raise personal.
72,2,2025-11-07,H2 2025,3.0,Neutral,0.34,2,8,Teacher office force care others heart. Style option red.
73,32,2026-04-09,H2 2025,4.5,Negative,-0.2,5,7,Return style at score pretty south. Resource notice generation single on. Simply director law.
74,50,2025-07-07,H1 2026,3.5,Positive,0.67,2,7,Course very near much hold. Deep agree walk thousand.
75,16,2025-08-07,H2 2025,3.5,Neutral,0.12,3,7,Cell loss approach. Gun class discuss manager.
76,21,2026-05-02,H1 2026,4.0,Neutral,0.64,7,6,Out article responsibility who. International opportunity include candidate team most.
77,39,2025-04-24,H1 2025,3.0,Negative,0.19,6,7,Floor well citizen these place account. Allow around admit guy toward.
78,16,2026-01-11,H2 2025,4.5,Positive,-0.21,3,7,Trial policy happy throw final assume kind. Head interesting common early look blood. Left able analysis arrive budget.
79,2,2025-01-20,H2 2025,4.0,Positive,0.1,3,7,Although ago treatment society. Discover last everybody wall major interest amount. Might speech prove.
80,41,2026-01-17,H2 2025,4.0,Neutral,-0.44,4,7,Challenge air rest wind. Less crime amount laugh. Approach Republican forward why spend.
81,18,2025-07-12,H1 2026,3.5,Positive,-0.41,2,6,Wide west man current hundred box. Agent north consider mother month.
82,4,2025-11-21,H2 2025,3.5,Positive,0.48,6,6,International involve effect ahead building accept current. Parent church special voice two. Threat join chance good ask drive.
83,41,2026-03-11,H2 2025,3.5,Positive,0.65,2,8,Affect arm entire increase beyond whole phone. Sense somebody anything.
84,19,2025-11-18,H2 2025,4.0,Negative,-0.52,7,8,Project buy edge after pretty one name. Attack resource serious teach piece especially able. Property remain first common eight. Maybe space father store start upon house paper.
85,9,2026-05-14,H1 2025,3.0,Positive,0.18,7,6,Possible cup opportunity rate sport. Owner seek bill traditional western chance. Expert any look entire do company focus.
86,6,2025-12-25,H1 2026,3.5,Positive,0.53,5,7,Say whom prove organization old. Yet land address represent.
87,35,2025-02-23,H2 2025,4.0,Positive,-0.37,8,6,Third summer what cause. Level middle star music commercial.
88,14,2026-03-26,H1 2025,4.0,Neutral,-0.26,2,8,Area citizen program agree sort physical. Support top nation wind.
89,44,2025-01-15,H1 2025,4.5,Positive,-0.54,3,6,Hard reduce past message mean. Large chair born wish while room Mr personal.
90,10,2025-05-11,H2 2025,3.5,Neutral,0.41,2,8,Air star audience national human employee movement. Serious later they green.
91,49,2025-10-14,H2 2025,4.0,Neutral,0.23,2,6,Number key medical join activity. Article agent music industry. List behavior successful success herself be.
92,38,2025-01-27,H1 2025,4.0,Positive,0.45,6,7,Before possible base citizen through purpose. Establish close prove nice measure leg sell official. Professor anyone amount great require else so. Interest great analysis tonight politics computer exist throw.
93,33,2025-06-08,H2 2025,3.0,Positive,0.34,6,7,Difference reveal government single least something source. Consider policy those unit reduce executive. Heavy national result very investment enter memory charge.
94,18,2026-01-09,H2 2025,3.0,Positive,0.31,4,6,Check full history. Wonder green set stay. Every national a whose whether single.
95,21,2025-09-14,H2 2025,4.0,Positive,0.07,7,8,Hundred recent direction American job world house. Wrong send knowledge office.
96,33,2026-02-10,H1 2025,3.0,Positive,-0.44,8,6,Perhaps as feel. Your both to yes eat. Policy clear star daughter imagine discussion little imagine.
97,13,2025-10-23,H1 2026,4.0,Negative,0.63,4,7,Cost eat truth fly memory hundred.
98,4,2025-08-14,H2 2025,4.5,Positive,0.17,4,6,Growth what seek many.
99,14,2025-06-25,H1 2026,3.5,Negative,-0.02,4,7,Pattern investment practice their. Event skin indicate suddenly like.
100,26,2025-06-09,H1 2026,3.5,Neutral,0.59,7,6,Significant camera else Mrs. Piece national what role term left necessary. Even kitchen including summer.
101,5,2025-04-10,H1 2026,4.5,Neutral,0.69,4,6,Style performance try phone water. Instead production pay trip recognize ok recent.
102,20,2026-03-22,H2 2025,4.0,Positive,-0.52,3,8,Find medical note read term force. End finish process book party reveal quickly around. Yes east up threat and box listen.
103,13,2026-02-28,H1 2026,3.5,Positive,0.38,4,6,Dinner other sell new. Debate fire improve remember call method. Foreign outside her account agent.
104,8,2025-10-27,H1 2025,3.5,Negative,0.87,3,6,Southern federal will economic another. Your radio ever total technology party. Marriage anyone smile energy add so.
105,41,2025-01-22,H1 2026,4.5,Positive,-0.43,7,6,Interest hair series future throughout number. Should who court media part.
106,30,2025-09-27,H1 2025,4.0,Positive,0.5,3,6,Drug site election identify. Situation take contain industry red approach. Plan page get understand across use.
107,5,2026-02-02,H1 2026,2.5,Positive,0.65,5,6,Talk brother charge Congress. Into thing really listen husband shake party. Agree bad exactly work begin treat.
108,1,2025-02-05,H2 2025,5.0,Neutral,0.46,7,7,Mouth military hold art set. Address listen might how represent yard campaign. Common other walk know.
109,13,2025-09-21,H1 2025,3.5,Neutral,-0.25,5,6,Land yes impact enjoy clearly.
110,42,2025-02-05,H1 2026,4.5,Positive,0.83,5,6,Challenge book clearly data. Director service long direction generation. Role term mother leave go standard collection work.
111,46,2025-02-08,H1 2025,3.0,Positive,0.63,6,6,Finally but newspaper seem. Food education someone woman environmental all war. Figure happen present full certainly.
112,24,2026-01-06,H1 2026,4.0,Positive,0.36,5,6,Born war child require. Experience Mr she room man vote safe.
113,38,2026-02-06,H2 2025,5.0,Neutral,-0.38,7,7,Just similar shake drug fall political score. College court strategy much rate standard today.
114,44,2026-02-12,H2 2025,3.5,Neutral,0.73,4,7,Pretty article suggest. Six while step effort resource create hit yes. Foot nation stop environment throw.
115,42,2026-04-13,H2 2025,4.0,Neutral,0.73,4,8,Thing activity tax tell skin. Method resource how listen. Method attack interesting writer everything.
116,41,2025-05-19,H2 2025,4.0,Neutral,-0.36,8,8,Energy into stay decision movement gun. Little people late six.
117,9,2025-07-20,H1 2026,3.5,Neutral,0.72,6,8,Politics prepare travel. Drive other chair lead maybe produce.
118,3,2026-06-07,H1 2025,2.5,Negative,0.4,3,8,Sound nothing international only method choice. Article year fire official car look ever last. Effect discussion special technology.
119,15,2025-11-29,H2 2025,3.5,Neutral,-0.04,5,8,Security high education environmental toward story possible. Last miss draw society character both position near. Hot stage want. Decide common term under Republican news deep.
120,43,2026-01-28,H1 2025,3.5,Positive,0.53,2,6,And bring continue compare. Administration reality history.
